id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
838222525129982691,Rental unit in Kungsholmen · ★4.93 · 1 bedroom · 2 beds · 1.5 baths,135323554,Andreas,,Kungsholmens,59.32989999999999,17.9994783,Entire home/apt,920,1,15,2023-06-24,4.05,19,150,15,
838241142019544850,Rental unit in Stockholm · ★4.17 · 1 bedroom · 3 beds · 1 bath,124572201,Lexonaut,,Norrmalms,59.34635,18.06514,Entire home/apt,904,1,12,2023-06-12,3.75,2,287,12,
838409853869363988,Rental unit in Skarpnäcks Gård · 1 bedroom · 1 bed · 1 bath,315852368,Ella,,Skarpnäcks,59.27834,18.11635,Entire home/apt,750,3,2,2023-05-15,0.75,1,176,2,
838457171752377494,Rental unit in Akalla · 1 bedroom · 1 bed · 1 shared bath,503568401,Ab,,Rinkeby-Tensta,59.41444,17.90881,Private room,700,1,0,,,1,364,0,
838484229519313962,Rental unit in Skärholmen · 1 bedroom · 1 bed · 1 bath,503576446,Abdullah,,Skärholmens,59.29313693777123,17.940859406641543,Entire home/apt,370,15,0,,,1,91,0,
838501856100303684,Condo in Kungsholmen · 2 bedrooms · 3 beds · 1 bath,503581298,Monika,,Kungsholmens,59.33904299999999,18.0049611,Entire home/apt,2540,3,1,2023-05-24,0.81,1,141,1,
838738831919432185,Rental unit in Södermalm · 1 bedroom · 1 bed · 1 bath,30460761,Petra,,Södermalms,59.3160164,18.0298135,Entire home/apt,800,7,2,2023-06-11,0.63,1,35,2,
838849823136362497,Rental unit in Norrmalm · ★4.71 · 1 bedroom · 2 beds · 1 bath,22876006,Hedvig,,Norrmalms,59.33846971167633,18.038654411457006,Entire home/apt,1656,7,7,2023-06-03,2.33,82,149,7,
838875785905252652,Rental unit in Enskede-Årsta-Vantör · 2 bedrooms · 2 beds · 1 bath,22442001,Denny,,Enskede-Årsta-Vantörs,59.28154989562533,18.084286004304886,Entire home/apt,2500,2,2,2023-05-21,0.73,2,232,2,
838891658637056932,Rental unit in Norrmalm · ★4.50 · 1 bedroom · 3 beds · 1 bath,439074505,Travelnest,,Norrmalms,59.336375474530094,18.054982868195694,Entire home/apt,2400,1,6,2023-06-14,1.75,7,349,6,
839634852302604140,Rental unit in Skärholmen · 1 bedroom · 2 beds · 1 shared bath,495419064,Anastasiya,,Skärholmens,59.297956,17.9404181,Private room,455,1,0,,,1,165,0,
839741659823645992,Rental unit in Hägersten-Liljeholmen · ★4.25 · 1 bedroom · 1 bed · 1.5 baths,503815811,Andrea,,Hägersten-Liljeholmens,59.29147006870435,17.968808121755128,Entire home/apt,1150,1,4,2023-05-27,1.60,1,85,4,
839958804362144641,Home in Kista · ★4.92 · 3 bedrooms · 3 beds · 2 baths,220860397,Sofia,,Rinkeby-Tensta,59.412846962602536,17.939629923278794,Entire home/apt,2126,3,13,2023-06-16,3.61,10,37,13,
840271555449562991,Rental unit in Kungsholmen · 3 bedrooms · 3 beds · 1 bath,65620858,Cecilia,,Kungsholmens,59.32276,18.00696,Entire home/apt,1425,1,0,,,1,0,0,
840276060224011780,Home in Enskede-Årsta-Vantör · 3 bedrooms · 3 beds · 2 baths,82347821,Elin,,Enskede-Årsta-Vantörs,59.283642870165856,18.080215081572533,Entire home/apt,2800,2,0,,,1,341,0,
840342832639456930,Rental unit in Södermalm · ★4.67 · 1 bedroom · 1 bed · 1 bath,478551379,Joakim,,Södermalms,59.31441294305284,18.078402637740844,Entire home/apt,1214,4,9,2023-06-27,3.60,2,8,9,
840408600351729349,Rental unit in Hägersten-Liljeholmen · ★New · 3 bedrooms · 3 beds · 1.5 baths,97356698,Moa,,Hägersten-Liljeholmens,59.30472383601015,18.007213493075625,Entire home/apt,1800,4,0,,,1,54,0,
840447009876502243,Rental unit in Enskede-Årsta-Vantör · ★5.0 · 1 bedroom · 1 bed · 1 bath,469278166,Alina,,Enskede-Årsta-Vantörs,59.2739407,18.0517452,Entire home/apt,995,2,4,2023-05-24,1.97,1,271,4,
840538990361802837,Rental unit in Södermalm · 1 bedroom · 1 bed · 1 bath,503987145,Ausrine,,Södermalms,59.3037636,18.1083255,Entire home/apt,875,2,0,,,1,303,0,
840955885808350192,Villa in Solhem · 4 bedrooms · 4 beds · 1 bath,125559332,Mette,,Spånga-Tensta,59.38044227585377,17.87695030644838,Entire home/apt,2010,3,1,2023-06-19,1,1,1,1,
841033525601975387,Rental unit in Södermalm · 1 bedroom · 1 bed · 1 bath,148354190,Victoria,,Södermalms,59.3090522,18.0810146,Entire home/apt,1003,4,1,2023-04-20,0.42,1,38,1,
841119801405593656,Rental unit in Södermalm · ★4.75 · 1 bedroom · 2 beds · 1 bath,504116868,Channa,,Södermalms,59.308,18.07959,Entire home/apt,850,8,8,2023-06-27,2.86,1,27,8,
841124542193432281,Rental unit in Hägersten-Liljeholmen · ★New · 2 bedrooms · 1 bed · 1.5 baths,70096851,Kristian,,Hägersten-Liljeholmens,59.29496137147083,17.980621932476406,Entire home/apt,1200,5,1,2023-06-21,1,1,329,1,
841247181197108826,Bed and breakfast in Kungsholmen · 1 bedroom · 4 beds · 1.5 shared baths,259019701,Marius,,Kungsholmens,59.334764037731425,18.03010927973362,Private room,1960,1,2,2023-05-19,0.71,10,357,2,
841270207925614167,Bed and breakfast in Kungsholmen · 1 bedroom · 1 bed · 1 shared bath,259019701,Marius,,Kungsholmens,59.334973360819696,18.03206233866641,Private room,838,1,1,2023-06-12,1,10,348,1,
841339390709823249,Rental unit in Södermalm · ★4.86 · 1 bedroom · 2 beds · 1 bath,28419729,Louise,,Södermalms,59.30972758467372,18.081083115344235,Entire home/apt,1687,5,7,2023-06-04,1.91,1,28,7,
841737919118684299,Rental unit in Södermalm · ★4.0 · Studio · 1 bed · 1 bath,60382478,Elias,,Södermalms,59.3170724,18.0660829,Entire home/apt,871,1,7,2023-05-26,2.12,44,342,7,
841764602401020145,Rental unit in Södermalm · ★5.0 · 1 bedroom · 1 bed · 1 bath,195356311,Ida,,Södermalms,59.3132799,18.0919052,Entire home/apt,1227,2,5,2023-06-19,2.42,1,118,5,
841807341571577423,Rental unit in Kungsholmen · 3 bedrooms · 4 beds · 2 baths,3430273,Helena,,Kungsholmens,59.3268635,18.0452185,Entire home/apt,5000,4,1,2023-06-27,1,1,127,1,
841887633461355593,Condo in Östermalm · 2 bedrooms · 2 beds · 1.5 baths,9448010,Paulo,,Östermalms,59.34253159999999,18.097808,Entire home/apt,1213,2,0,,,1,0,0,
841896384937481319,Bed and breakfast in Kungsholmen · ★4.67 · 1 bedroom · 1 bed · 1 bath,259019701,Marius,,Kungsholmens,59.33636134829935,18.031373154825562,Private room,851,1,3,2023-06-11,0.90,10,332,3,
841937545824012430,Rental unit in Södermalm · 1 bedroom · 1 bed · 1 shared bath,62884716,Pernilla,,Södermalms,59.307772857785906,18.109021746299227,Private room,600,1,1,2023-05-04,0.53,9,332,1,
841986320221623870,Rental unit in Östermalm · 1 bedroom · 1 bed · 1 bath,498029010,Sofia,,Östermalms,59.34207231943873,18.084722180737586,Entire home/apt,1400,1,2,2023-05-28,1.28,1,237,2,
842050034749135057,Rental unit in Södermalm · 2 bedrooms · 2 beds · 1 bath,84849492,André,,Södermalms,59.31147424895462,18.07107894396624,Entire home/apt,1900,2,1,2023-06-27,1,1,8,1,
842566152507692239,Rental unit in Kungsholmen · ★4.88 · 1 bedroom · 2 beds · 1 bath,22876006,Hedvig,,Kungsholmens,59.338739693418574,18.02350005859195,Entire home/apt,1905,7,8,2023-06-08,2.45,82,92,8,
843140793921611968,Rental unit in Södermalm · ★5.0 · 1 bedroom · 1 bed · 1 bath,504557444,Per,,Södermalms,59.31309251882092,18.077081590890884,Entire home/apt,1500,1,4,2023-06-19,3.64,1,117,4,
843144509040278446,Home in Älvsjö · 4 bedrooms · 4 beds · 2.5 baths,109692129,Carolina,,Älvsjö,59.2740601,17.9665798,Entire home/apt,1206,6,0,,,1,187,0,
843223852012196989,Rental unit in Södermalm · Studio · 1 bed · 1 bath,271346174,StayPlus,,Södermalms,59.3130559,18.078561,Entire home/apt,1093,20,1,2023-04-14,0.38,19,299,1,
843255788346620086,Rental unit in Södermalm · ★5.0 · 1 bedroom · 1 bed · 1 bath,53915301,William,,Södermalms,59.31642255230462,18.087439376057443,Entire home/apt,2054,4,3,2023-05-21,1.67,1,212,3,
843489126694244446,Rental unit in Kungsholmen · ★5.0 · 1 bedroom · 1 bed · 1 bath,503824494,Tessa,,Kungsholmens,59.325499850852985,18.007623448934396,Entire home/apt,1143,2,3,2023-06-11,1.07,1,159,3,
843547258388024626,Tiny home in Enskede-Årsta-Vantör · ★4.95 · 2 bedrooms · 3 beds · 1 bath,115028723,Emelie,,Enskede-Årsta-Vantörs,59.270788391396,18.022513403858326,Entire home/apt,1100,2,20,2023-06-25,5.77,1,225,20,
843552350359030557,Rental unit in Östermalm · Studio · 1 bed · 1 bath,193902525,Cristiano,,Östermalms,59.34033,18.08724,Entire home/apt,640,28,0,,,4,41,0,
